Date,Closing Price,Volume,Open Price,Closing Price 1 Day Ago,High Price,Low Price
10-03-2022,356.77,4807767,356.2,358.79,367.02,353.3
09-03-2022,358.79,6520186,357.685,341.76,364.14,350.5089
08-03-2022,341.76,6428655,349.8,350.26,358.86,340.67
07-03-2022,350.26,5708383,360.41,361.73,361.995,350.2
04-03-2022,361.73,5329180,368,368.07,374.8186,357.17
03-03-2022,368.07,6076836,386,380.03,386.12,364.65
02-03-2022,380.03,5356809,388.93,386.24,389.22,375.21
01-03-2022,386.24,3290439,391.6,394.52,395,383.705
28-02-2022,394.52,5035046,387.33,390.8,397.75,382.13
25-02-2022,390.8,4841636,386.61,390.03,391.29,375.58
24-02-2022,390.03,7068724,355.09,367.46,390.73,354.72
23-02-2022,367.46,4614290,382.72,377.38,386,366.66
22-02-2022,377.38,6697515,388.95,391.29,392.42,373.02
18-02-2022,391.29,6801668,392.53,386.67,402.87,389.0466
17-02-2022,386.67,4669222,394.235,398.08,399.11,385.7
16-02-2022,398.08,5277650,401.53,407.46,401.56,390.3842
15-02-2022,407.46,5395641,403.79,396.57,409.1619,401.01
14-02-2022,396.57,7202155,387.59,391.31,409.36,386.891
11-02-2022,391.31,7558939,405.33,406.27,411.6103,387.65
10-02-2022,406.27,8452915,402.1,412.89,408,396.36
09-02-2022,412.89,7738227,408.65,403.53,412.98,398.79
08-02-2022,403.53,6818543,398.18,402.1,406.61,395.83
07-02-2022,402.1,8232859,410.17,410.17,412.35,393.55
04-02-2022,410.17,7789798,407.31,405.6,412.77,396.6391
03-02-2022,405.6,9905210,421.44,429.48,429.26,404.28
02-02-2022,429.48,14346010,448.25,457.13,451.98,426.48
01-02-2022,457.13,22568100,432.96,427.14,458.48,425.5401
31-01-2022,427.14,20047452,401.97,384.36,427.7,398.2
28-01-2022,384.36,11966605,386.76,386.7,387,372.08
27-01-2022,386.7,24324748,382.06,359.7,394.8,378.1
26-01-2022,359.7,12683981,378.27,366.42,382.66,356.62
25-01-2022,366.42,15145816,379.14,387.15,387.71,365.13
24-01-2022,387.15,32386782,383.91,397.5,387.26,351.46
21-01-2022,397.5,58904264,400.425,508.25,409.1499,379.99
20-01-2022,508.25,12658993,517.7498,515.86,526.64,506.93
19-01-2022,515.86,4353508,515,510.8,523.21,510.51
18-01-2022,510.8,4844418,520.08,525.69,521.75,508.68
14-01-2022,525.69,7861109,517.6,519.2,538.37,511.88
13-01-2022,519.2,4475063,537.06,537.22,540.79,518.26
12-01-2022,537.22,3787372,544.27,540.84,544.27,532.02
11-01-2022,540.84,3077836,536.99,539.85,543.91,530.07
10-01-2022,539.85,4486145,538.49,541.06,543.69,526.32
07-01-2022,541.06,3382873,549.46,553.29,553.43,538.2175
06-01-2022,553.29,5711795,554.34,567.52,563.36,542.01
05-01-2022,567.52,4148749,592,591.15,592.84,566.88
04-01-2022,591.15,4393135,599.91,597.37,600.4099,581.6
03-01-2022,597.37,3068808,605.61,602.44,609.99,590.56
31-12-2021,602.44,1995918,610.01,612.09,614.075,602.05
30-12-2021,612.09,1625093,612.99,610.54,620.61,611.2401
29-12-2021,610.54,1287513,610.71,610.71,613.98,604.68
28-12-2021,610.71,1884116,614.95,613.12,618.41,609.69
27-12-2021,613.12,2062233,615,614.09,615,609.25
23-12-2021,614.09,1621146,616.4,614.24,616.88,607.57
22-12-2021,614.24,2335745,603.36,604.92,614.82,602.63
21-12-2021,604.92,2319390,597.5434,593.74,607.82,593.8611
20-12-2021,593.74,3358404,586.43,586.73,602.8847,584.26
17-12-2021,586.73,4433706,591.61,591.06,593.25,581.74
16-12-2021,591.06,3143217,597.09,605.04,602.8308,588
15-12-2021,605.04,2866196,598.18,597.99,605.69,584.51
14-12-2021,597.99,2984536,598.71,604.56,602.29,588.13
13-12-2021,604.56,2517915,612,611.66,612.64,599.52
10-12-2021,611.66,2748774,616.78,611,617.74,605.88
09-12-2021,611,2376321,627.58,628.08,630.24,610.44
08-12-2021,628.08,2220308,630,625.58,632.455,623.2
07-12-2021,625.58,3125190,619.83,612.69,628.89,611.4
06-12-2021,612.69,3075672,606.01,602.13,617.29,601
03-12-2021,602.13,4829282,622.75,616.47,625.5,594
02-12-2021,616.47,3331131,617.1,617.77,625.36,612.88
01-12-2021,617.77,3897019,649.48,641.9,654.52,617.07
30-11-2021,641.9,5608919,668.1975,663.84,675.38,640.01
29-11-2021,663.84,2529364,663.2,665.64,667.99,658.29
26-11-2021,665.64,2872513,675,658.29,676.405,660.67
24-11-2021,658.29,1867282,658.01,654.06,661.44,651.1
23-11-2021,654.06,2320917,658.18,659.2,666.43,646.05
22-11-2021,659.2,2765318,676.02,678.8,679.48,656.47
19-11-2021,678.8,2614852,692.35,682.02,694.16,675
18-11-2021,682.02,2014992,691.61,691.69,691.74,679.735
17-11-2021,691.69,2732831,690,687.4,700.9894,686.09
16-11-2021,687.4,2077387,678.27,679.33,688.3599,676.9
15-11-2021,679.33,2872186,681.235,682.61,685.2599,671.49
12-11-2021,682.61,4198410,660.01,657.58,683.34,653.82
11-11-2021,657.58,2868311,650.24,646.91,665.82,649.705
10-11-2021,646.91,2405785,653.01,655.99,660.3306,642.11
09-11-2021,655.99,2415630,653.7,651.45,660.5,650.52
08-11-2021,651.45,2887523,650.29,645.72,656,643.79
05-11-2021,645.72,5283488,663.97,668.4,665.64,645.01
04-11-2021,668.4,4865023,685.89,688.29,685.94,665.5
03-11-2021,688.29,2334852,677.27,677.72,689.39,677.27
02-11-2021,677.72,3888597,683.11,681.17,687.68,673.82
01-11-2021,681.17,3110911,689.06,690.31,689.97,676.54
29-10-2021,690.31,3825279,673.06,674.05,690.9699,671.24
28-10-2021,674.05,2859409,670.9493,662.92,676.8,668.03
27-10-2021,662.92,2276914,669,668.52,671.41,661.85
26-10-2021,668.52,2904840,673.76,671.66,676.4899,662.77
25-10-2021,671.66,3833526,663.74,664.78,675.88,657.07
22-10-2021,664.78,6186016,651.81,653.16,665.46,651.81
21-10-2021,653.16,8437070,628.89,625.14,654.01,628.65
20-10-2021,625.14,10621997,625.5728,639,637.4,617.15
19-10-2021,639,7633147,636.969,637.97,641,632.3
18-10-2021,637.97,4669071,632.1,628.29,638.41,620.5901
15-10-2021,628.29,4116874,638,633.8,639.42,625.16
14-10-2021,633.8,2672535,632.23,629.76,636.88,626.79
13-10-2021,629.76,2424638,632.1791,624.94,632.1791,622.1
12-10-2021,624.94,3227349,633.02,627.04,637.655,621.99
11-10-2021,627.04,2862470,633.195,632.66,639.42,626.78
08-10-2021,632.66,3272093,634.165,631.85,643.8,630.86
07-10-2021,631.85,3556886,642.2252,639.1,646.84,630.45
06-10-2021,639.1,4580434,628.18,634.81,639.8699,626.36
05-10-2021,634.81,9534293,606.94,603.35,640.39,606.89
04-10-2021,603.35,4995932,613.39,613.15,626.125,594.68
01-10-2021,613.15,4090847,604.24,610.34,614.99,597.505
30-09-2021,610.34,6616040,608.05,599.06,619,608.05
29-09-2021,599.06,6221026,589.01,583.85,609.8799,588.01
28-09-2021,583.85,4431051,589,592.64,599.5353,580.16
27-09-2021,592.64,2504738,587.95,592.39,593.58,576.93
24-09-2021,592.39,2126246,592.5,593.26,592.98,583.64
23-09-2021,593.26,2526161,590.79,590.65,599.32,589.1301
22-09-2021,590.65,4021845,579.69,573.14,595.65,579.69
21-09-2021,573.14,2250884,578.31,575.43,581.88,569.37
20-09-2021,575.43,3732227,586.79,589.35,591.53,568.08
17-09-2021,589.35,4145145,587.85,586.5,590.28,580.8501
16-09-2021,586.5,1832028,584.3,582.87,587.48,577.72
15-09-2021,582.87,2755615,578.17,577.76,584.62,575.37
14-09-2021,577.76,3456958,584.89,589.29,587.28,575.56
13-09-2021,589.29,3062871,598.57,598.72,598.57,582.775
10-09-2021,598.72,3950764,598.16,597.54,609.45,593.67
09-09-2021,597.54,2954214,606.47,606.05,609.44,596.55
08-09-2021,606.05,5424503,603.84,606.71,615.6,595.71
07-09-2021,606.71,5830979,594.69,590.53,613.85,593.99
03-09-2021,590.53,2684005,585.8,588.55,591.8783,583.14
02-09-2021,588.55,6184782,583.68,582.07,598.7567,583.68
01-09-2021,582.07,5626214,569,569.19,591,569
31-08-2021,569.19,2431886,566.12,566.18,569.48,561.611
30-08-2021,566.18,2434839,557.25,558.92,567.1648,556.45
27-08-2021,558.92,3252595,551.6,550.12,564.17,549.25
26-08-2021,550.12,1595499,546.16,547.58,552.604,545.9
25-08-2021,547.58,2065621,550.16,553.41,552.84,545.45
24-08-2021,553.41,2109525,551.484,553.33,555.3141,549.27
23-08-2021,553.33,2602010,545.98,546.88,555.55,543.74
20-08-2021,546.88,3776429,545.09,543.71,551.3883,539.1
19-08-2021,543.71,7497292,522.74,521.87,548.39,521.87
18-08-2021,521.87,2582046,520,518.91,526.38,518.65
17-08-2021,518.91,2309803,515.465,517.92,520.79,514.2
16-08-2021,517.92,2033176,515.24,515.92,523.38,512.3
13-08-2021,515.92,2177736,512.64,510.72,521.44,511.51
